date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:56:11	59200/59200	------	200	untouched ('OK')	text/html	date:Wed,%2031%20May%202023%2014:17:24%20GMT	http://plainswipe.local/	plainswipe.local/index.html	(from )
21:56:11	110/110	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Wed,%2031%20May%202023%2016:26:10%20GMT	http://plainswipe.local/robots.txt		(from )
21:56:11	22665/22665	------	200	untouched ('')	application/rss+xml	etag:%22bbf1ad9de4b73dd043452e26865bd200%22	http://plainswipe.local/feed/	plainswipe.local/feed/index.html	(from http://plainswipe.local/)
21:56:11	1625/1625	------	200	untouched ('')	application/rss+xml	etag:%22bbf1ad9de4b73dd043452e26865bd200%22	http://plainswipe.local/comments/feed/	plainswipe.local/comments/feed/index.html	(from http://plainswipe.local/)
21:56:11	97517/97517	------	200	untouched ('OK')	text/css	etag:W/%22640a784d-17ced%22	http://plainswipe.local/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	plainswipe.local/wp-includes/css/dist/block-library/style.min3781.css	(from http://plainswipe.local/)
21:56:11	291/291	------	200	untouched ('OK')	text/css	etag:W/%2263eaa28b-123%22	http://plainswipe.local/wp-includes/css/classic-themes.min.css?ver=6.2.2	plainswipe.local/wp-includes/css/classic-themes.min3781.css	(from http://plainswipe.local/)
21:56:11	38840/38840	------	200	untouched ('OK')	text/css	etag:W/%2264722c70-97b8%22	http://plainswipe.local/wp-content/themes/neve/style-main-new.min.css?ver=3.5.8	plainswipe.local/wp-content/themes/neve/style-main-new.mina3dd.css	(from http://plainswipe.local/)
21:56:11	89815/89815	------	200	untouched ('OK')	application/x-javascript	etag:W/%226408d5ed-15ed7%22	http://plainswipe.local/wp-includes/js/jquery/jquery.min.js?ver=3.6.4	plainswipe.local/wp-includes/js/jquery/jquery.min5aed.js	(from http://plainswipe.local/)
21:56:11	13424/13424	------	200	untouched ('OK')	application/x-javascript	etag:W/%2263e16a23-3470%22	http://plainswipe.local/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0	plainswipe.local/wp-includes/js/jquery/jquery-migrate.min6b00.js	(from http://plainswipe.local/)
21:56:11	21236/21236	------	200	untouched ('OK')	application/x-javascript	etag:W/%22647230c4-52f4%22	http://plainswipe.local/wp-content/plugins/wpzoom-video-popup-block/dist/scripts/frontend.js?ver=994b280399ff38241b51	plainswipe.local/wp-content/plugins/wpzoom-video-popup-block/dist/scripts/frontend13c4.js	(from http://plainswipe.local/)
21:56:11	191378/191378	------	200	untouched ('')	application/json	date:Wed,%2031%20May%202023%2014:17:34%20GMT	http://plainswipe.local/wp-json/	plainswipe.local/wp-json/index.html	(from http://plainswipe.local/)
21:56:11	804/804	------	200	untouched ('')	text/xml	date:Wed,%2031%20May%202023%2014:17:32%20GMT	http://plainswipe.local/xmlrpc.php?rsd	plainswipe.local/xmlrpc0db0.php	(from http://plainswipe.local/)
21:56:11	1045/1045	------	200	untouched ('')	text/xml	etag:W/%2252a8c1b7-415%22	http://plainswipe.local/wp-includes/wlwmanifest.xml	plainswipe.local/wp-includes/wlwmanifest.xml	(from http://plainswipe.local/)
21:56:11	10546/10546	------	200	untouched ('')	image/png	etag:%22647602c2-2932%22	http://plainswipe.local/wp-content/uploads/2023/05/cropped-cropped-logo-1.png	plainswipe.local/wp-content/uploads/2023/05/cropped-cropped-logo-1.png	(from http://plainswipe.local/)
21:56:11	60167/60167	------	200	untouched ('OK')	text/html	date:Wed,%2031%20May%202023%2014:17:36%20GMT	http://plainswipe.local/15c42-web-agency-gb-portfolio/	plainswipe.local/15c42-web-agency-gb-portfolio/index.html	(from http://plainswipe.local/)
21:56:11	60590/60590	------	200	untouched ('OK')	text/html	date:Wed,%2031%20May%202023%2014:17:36%20GMT	http://plainswipe.local/15c42-web-agency-gb-contact-us/	plainswipe.local/15c42-web-agency-gb-contact-us/index.html	(from http://plainswipe.local/)
